model_name,status,gpu_id,input_shape,input_type,base_mem_mib,post_load_mem_mib,peak_total_mem_mib,peak_warmup_mem_mib,peak_measure_mem_mib,steady_mem_mib,warmup_avg_latency_ms,measure_avg_latency_ms,measure_min_latency_ms,measure_max_latency_ms,warmup_runs,measure_runs,error,model_path
vgg16_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,1426,34872,34872,34742,34742,2680.4283,530.7368,528.7661,532.8044,5,10,,/cyq/hase/model_zoo/models/vgg16_bs128_448x448.onnx
vgg16_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,1426,6096,6096,2998,2998,600.9848,30.2501,29.8678,30.846,5,10,,/cyq/hase/model_zoo/models/vgg16_bs32_224x224.onnx
vgg16_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,1456,16422,16422,10196,10196,1031.1647,104.9688,102.3161,107.0349,5,10,,/cyq/hase/model_zoo/models/vgg16_bs32_448x448.onnx
vgg16_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,1392,9142,9142,5012,5012,727.1398,58.1186,51.7849,73.6401,5,10,,/cyq/hase/model_zoo/models/vgg16_bs64_224x224.onnx
vgg16_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,1392,24246,24246,18324,18324,1556.4376,213.7697,206.0975,229.0085,5,10,,/cyq/hase/model_zoo/models/vgg16_bs64_448x448.onnx
vgg19_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,1456,13158,13158,10196,10196,1097.7408,133.1972,122.6098,148.2285,5,10,,/cyq/hase/model_zoo/models/vgg19_bs128_224x224.onnx
vgg19_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,1456,34902,34902,34772,34772,3105.9751,598.7835,580.4479,618.614,5,10,,/cyq/hase/model_zoo/models/vgg19_bs128_448x448.onnx
vgg19_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,1136,6318,6318,3220,3220,623.8325,32.8792,32.7588,32.9946,5,10,,/cyq/hase/model_zoo/models/vgg19_bs32_224x224.onnx
vgg19_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,1136,16102,16102,9876,9876,1220.3595,131.499,121.3267,147.1659,5,10,,/cyq/hase/model_zoo/models/vgg19_bs32_448x448.onnx
vgg19_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,1520,9270,9270,5140,5140,827.2457,73.4727,60.5518,86.2145,5,10,,/cyq/hase/model_zoo/models/vgg19_bs64_224x224.onnx
vgg19_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,1552,24406,24406,18484,18484,1779.6598,266.444,244.5843,283.1375,5,10,,/cyq/hase/model_zoo/models/vgg19_bs64_448x448.onnx
