model1,averagetime1,model2,averagetime2,model3,averagetime3
yolov8x,0.064674258,resnet50,0.018508877,densenet201,0.049588013
yolov8x,0.066253076,resnet152,0.03614242,resnet152,0.036140771
yolov8x,0.064187735,resnet152,0.033497862,vgg11,0.011064244
yolov8x,0.066263617,resnet152,0.035963676,vgg16,0.01160874
yolov8x,0.066307613,resnet152,0.035639535,vgg19,0.012014888
yolov8x,0.064353276,resnet152,0.035764334,densenet121,0.031710775
yolov8x,0.064223683,resnet152,0.036403121,densenet169,0.040413886
yolov8x,0.061203016,resnet152,0.035237505,densenet201,0.046826393
yolov8x,0.064328306,vgg11,0.011007186,vgg11,0.010912951
yolov8x,0.067683995,vgg11,0.011297822,vgg16,0.011674365
yolov8x,0.076444735,vgg11,0.010982628,vgg19,0.012286452
yolov8x,0.064836106,vgg11,0.011026483,densenet121,0.031741278
yolov8x,0.06152923,vgg11,0.010464588,densenet169,0.039009118
yolov8x,0.065146551,vgg11,0.010996269,densenet201,0.046873588
yolov8x,0.101386073,vgg16,0.011553657,vgg16,0.011418743
yolov8x,0.10359501,vgg16,0.011631743,vgg19,0.012472982
yolov8x,0.061559052,vgg16,0.010852212,densenet121,0.030974636
yolov8x,0.064908111,vgg16,0.011451295,densenet169,0.039763368
yolov8x,0.063782841,vgg16,0.011508,densenet201,0.047353881
yolov8x,0.109459549,vgg19,0.012789927,vgg19,0.012830094
yolov8x,0.064799033,vgg19,0.011813597,densenet121,0.031367632
yolov8x,0.064624322,vgg19,0.011818736,densenet169,0.041088483
yolov8x,0.064494281,vgg19,0.012172367,densenet201,0.045593044
yolov8x,0.064639273,densenet121,0.031536038,densenet121,0.03132587
yolov8x,0.063426854,densenet121,0.031384008,densenet169,0.03998815
yolov8x,0.064443084,densenet121,0.032227234,densenet201,0.045929189
yolov8x,0.061078659,densenet169,0.03826981,densenet169,0.037926977
yolov8x,0.063945557,densenet169,0.041373525,densenet201,0.046520928
yolov8x,0.063692697,densenet201,0.046656851,densenet201,0.046799841
yolov8m,0.062228645,yolov8m,0.061896788,yolov8m,0.062012797
yolov8m,0.064761078,yolov8m,0.064827557,resnet18,0.013992183
yolov8m,0.064044331,yolov8m,0.063210059,resnet50,0.01936357
yolov8m,0.062164045,yolov8m,0.061724991,resnet152,0.036342914
yolov8m,0.062323287,yolov8m,0.061749403,vgg11,0.01116718
yolov8m,0.061451824,yolov8m,0.061645196,vgg16,0.011792278
yolov8m,0.061219998,yolov8m,0.061636742,vgg19,0.012037662
yolov8m,0.061904595,yolov8m,0.061748642,densenet121,0.031378648
yolov8m,0.061531753,yolov8m,0.061112194,densenet169,0.041025525
yolov8m,0.062752666,yolov8m,0.061739542,densenet201,0.047090932
yolov8m,0.066955291,resnet18,0.01483024,resnet18,0.014864447
yolov8m,0.065049456,resnet18,0.014439492,resnet50,0.020302311
yolov8m,0.064932075,resnet18,0.014071829,resnet152,0.036954368
yolov8m,0.064533353,resnet18,0.013607035,vgg11,0.011886012
yolov8m,0.064676848,resnet18,0.0138032,vgg16,0.012436065
yolov8m,0.063771871,resnet18,0.013514968,vgg19,0.012428807
yolov8m,0.064499521,resnet18,0.01388944,densenet121,0.033125009
yolov8m,0.064703554,resnet18,0.013904608,densenet169,0.042657703
yolov8m,0.065309151,resnet18,0.013937453,densenet201,0.049790986
yolov8m,0.065133782,resnet50,0.019698621,resnet50,0.019652282
yolov8m,0.064475929,resnet50,0.019177549,resnet152,0.038099262
yolov8m,0.063149459,resnet50,0.019110301,vgg11,0.011447361
yolov8m,0.063728191,resnet50,0.019104901,vgg16,0.012001299
yolov8m,0.063038852,resnet50,0.017879051,vgg19,0.011661818
yolov8m,0.0632362,resnet50,0.018912361,densenet121,0.032526242
yolov8m,0.063701956,resnet50,0.019017458,densenet169,0.041948641
yolov8m,0.06360371,resnet50,0.018840937,densenet201,0.051526011
yolov8m,0.062616046,resnet152,0.036185106,resnet152,0.037316689
yolov8m,0.062063503,resnet152,0.03493788,vgg11,0.011209373
yolov8m,0.06320601,resnet152,0.03590388,vgg16,0.011703145
yolov8m,0.062033506,resnet152,0.036514151,vgg19,0.012031917
yolov8m,0.061209888,resnet152,0.035666556,densenet121,0.031854144
yolov8m,0.062323846,resnet152,0.035016893,densenet169,0.042610746
yolov8m,0.061986943,resnet152,0.035777933,densenet201,0.046301702
yolov8m,0.063317216,vgg11,0.011023016,vgg11,0.010999681
yolov8m,0.062394655,vgg11,0.011033205,vgg16,0.011516873
yolov8m,0.060985988,vgg11,0.010325613,vgg19,0.011114396
yolov8m,0.061787763,vgg11,0.010948103,densenet121,0.032000299
yolov8m,0.061129006,vgg11,0.010958437,densenet169,0.040396066
yolov8m,0.061437161,vgg11,0.010961505,densenet201,0.046214251
yolov8m,0.061774146,vgg16,0.011585864,vgg16,0.011529914
yolov8m,0.061356372,vgg16,0.011460029,vgg19,0.011997399
yolov8m,0.061427187,vgg16,0.011447281,densenet121,0.031157054
yolov8m,0.061718652,vgg16,0.011456231,densenet169,0.040179262
yolov8m,0.061355376,vgg16,0.011477961,densenet201,0.046580415
yolov8m,0.061319413,vgg19,0.011916483,vgg19,0.011946878
yolov8m,0.063013224,vgg19,0.011833877,densenet121,0.031209179
yolov8m,0.062013279,vgg19,0.011805068,densenet169,0.040769469
yolov8m,0.059186901,vgg19,0.011322456,densenet201,0.046350024
yolov8m,0.062606615,densenet121,0.03144397,densenet121,0.030605109
yolov8m,0.061182947,densenet121,0.031983979,densenet169,0.0402029
yolov8m,0.061761111,densenet121,0.031452594,densenet201,0.047610235
yolov8m,0.061263859,densenet169,0.040981401,densenet169,0.040625973
yolov8m,0.061535469,densenet169,0.040846551,densenet201,0.047531806
yolov8m,0.061853829,densenet201,0.047317326,densenet201,0.046760544
resnet18,0.015128035,resnet18,0.015290196,resnet18,0.015141718
resnet18,0.015354068,resnet18,0.015346686,resnet50,0.021630194
resnet18,0.014838664,resnet18,0.014893653,resnet152,0.038949
resnet18,0.014349018,resnet18,0.014326494,vgg11,0.011976571
resnet18,0.014468519,resnet18,0.014493001,vgg16,0.012999255
resnet18,0.014204651,resnet18,0.014112138,vgg19,0.013007345
resnet18,0.01441299,resnet18,0.014477229,densenet121,0.033373602
resnet18,0.014227694,resnet18,0.014239307,densenet169,0.042637075
resnet18,0.013999025,resnet18,0.014032545,densenet201,0.050365433
resnet18,0.015162476,resnet50,0.020765769,resnet50,0.020972277
